City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
384,envira,-7.3,-70.2167,94.19,clear sky,0.0,0,25,2,2.55,BR
385,svarstad,59.399,9.9698,63.72,overcast clouds,0.0,0,52,88,1.48,NO
386,laguna,38.421,-121.4238,102.31,clear sky,0.0,0,33,0,9.22,US
387,arlit,18.7369,7.3853,92.79,light rain,0.17,0,34,38,12.26,NE
388,karratha,-20.7377,116.8463,64.54,clear sky,0.0,0,25,4,14.2,AU
389,sobolevo,54.4299,31.8996,64.99,overcast clouds,0.0,0,53,93,6.38,RU
390,sao filipe,14.8961,-24.4956,78.22,broken clouds,0.0,0,79,53,7.09,CV
391,jalu,29.0331,21.5482,86.47,clear sky,0.0,0,32,0,12.01,LY
392,pevek,69.7008,170.3133,43.52,scattered clouds,0.0,0,85,45,1.59,RU
393,palasa,18.7667,84.4167,80.53,overcast clouds,0.0,0,82,100,2.71,IN
394,tuy hoa,13.0833,109.3,77.77,overcast clouds,0.0,0,88,100,4.41,VN
395,san vicente,-26.6167,-54.1333,74.73,clear sky,0.0,0,56,5,0.94,AR
396,harper,4.375,-7.7169,76.32,overcast clouds,0.0,0,79,100,8.48,LR
397,tongliao,43.6125,122.2653,60.49,broken clouds,0.0,0,74,73,2.13,CN
398,santa cruz,-17.8,-63.1667,90.86,scattered clouds,0.0,0,31,28,13.8,BO
399,qui nhon,13.7667,109.2333,78.3,overcast clouds,0.0,0,85,100,4.14,VN
400,aripuana,-9.1667,-60.6333,98.44,few clouds,0.0,0,21,16,2.53,BR
401,myre,69.1036,15.9492,49.95,scattered clouds,0.0,0,70,38,4.07,NO
402,port augusta,-32.5,137.7667,43.3,clear sky,0.0,0,91,6,3.06,AU
403,itarantim,-15.6597,-40.0656,76.3,broken clouds,0.0,0,50,72,4.83,BR
404,boa vista,2.8197,-60.6733,78.78,light rain,0.45,0,83,75,12.66,BR
405,bambous virieux,-20.3428,57.7575,70.05,scattered clouds,0.0,0,73,40,12.66,MU
406,warrenton,-28.114,24.8475,58.87,clear sky,0.0,0,31,0,8.63,ZA
407,rocha,-34.4833,-54.3333,65.26,few clouds,0.0,0,69,12,6.29,UY
408,camacupa,-12.0167,17.4833,67.98,broken clouds,0.0,0,28,64,2.06,AO
409,rameswaram,9.2833,79.3,81.95,broken clouds,0.0,0,75,81,12.73,IN
410,leh,34.1667,77.5833,62.55,overcast clouds,0.0,0,57,97,6.49,IN
411,dwarka,22.2394,68.9678,80.78,overcast clouds,0.0,0,79,100,15.68,IN
412,kailahun,8.2833,-10.5667,69.58,light rain,0.85,0,99,100,4.25,SL
413,nipawin,53.3668,-104.0009,75.96,clear sky,0.0,0,38,2,2.91,CA
414,petropavlovsk-kamchatskiy,53.0452,158.6483,55.99,light rain,0.28,0,94,75,8.95,RU
415,biltine,14.5333,20.9167,78.91,overcast clouds,0.0,0,70,100,4.85,TD
416,muisne,0.6,-80.0333,76.91,broken clouds,0.0,0,78,77,12.03,EC
417,nhulunbuy,-12.2333,136.7667,72.21,few clouds,0.0,0,56,12,18.41,AU
418,kruisfontein,-34.0033,24.7314,70.34,broken clouds,0.0,0,27,54,6.44,ZA
419,goderich,43.7501,-81.7165,74.91,clear sky,0.0,0,63,0,7.18,CA
420,union de san antonio,21.1,-101.9667,78.67,broken clouds,0.0,0,43,63,4.47,MX
421,havelock,34.8791,-76.9013,86.97,overcast clouds,0.0,0,71,96,3.0,US
422,ahipara,-35.1667,173.1667,58.35,moderate rain,2.11,0,96,100,14.81,NZ
423,atar,20.5169,-13.0499,97.86,clear sky,0.0,0,30,8,17.96,MR
424,bodden town,19.2833,-81.25,87.01,few clouds,0.0,0,72,20,8.05,KY
425,nizhniy kuranakh,58.8353,125.4869,44.91,overcast clouds,0.0,0,97,100,2.71,RU
426,george,-33.963,22.4617,63.32,clear sky,0.0,0,58,1,1.74,ZA
427,chuguyevka,44.1653,133.8633,51.48,few clouds,0.0,0,77,21,3.76,RU
428,son la,21.3167,103.9,71.2,overcast clouds,0.0,0,97,100,0.81,VN
429,tura,25.5198,90.2201,73.81,scattered clouds,0.0,0,94,37,5.3,IN
430,male,4.1748,73.5089,78.91,overcast clouds,0.0,0,79,100,14.25,MV
431,nome,64.5011,-165.4064,50.7,broken clouds,0.0,0,68,77,6.64,US
432,araouane,18.9048,-3.5265,96.49,overcast clouds,0.0,0,33,87,11.45,ML
433,asfi,32.2994,-9.2372,71.37,few clouds,0.0,0,82,15,17.52,MA
434,fort nelson,58.8053,-122.7002,86.99,clear sky,0.0,0,40,10,1.34,CA
435,beidao,34.5686,105.8933,63.41,light rain,0.11,0,93,100,0.54,CN
436,pocoes,-14.5297,-40.3653,68.07,scattered clouds,0.0,0,62,35,8.08,BR
437,sao joao da barra,-21.6403,-41.0511,70.2,broken clouds,0.0,0,84,60,19.66,BR
438,ak-dovurak,51.1833,90.6,47.1,clear sky,0.0,0,66,0,1.7,RU
439,talcahuano,-36.7167,-73.1167,55.08,clear sky,0.0,0,76,0,11.5,CL
440,liancheng,24.0519,105.075,67.69,overcast clouds,0.0,0,93,100,2.08,CN
441,carbondale,37.7273,-89.2168,89.06,scattered clouds,0.0,0,56,40,5.75,US
