City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,kruisfontein,ZA,70.34,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
419,goderich,CA,74.91,clear sky,43.7501,-81.7165,Harmony Inn
420,union de san antonio,MX,78.67,broken clouds,21.1,-101.9667,HOTEL ADOBES
421,havelock,US,86.97,overcast clouds,34.8791,-76.9013,Sherwood Motel
423,atar,MR,97.86,clear sky,20.5169,-13.0499,Oumou Elghoura
424,bodden town,KY,87.01,few clouds,19.2833,-81.25,Will T Place
428,son la,VN,71.2,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
429,tura,IN,73.81,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
430,male,MV,78.91,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
432,araouane,ML,96.49,overcast clouds,18.9048,-3.5265,
433,asfi,MA,71.37,few clouds,32.2994,-9.2372,Hôtel Abda
434,fort nelson,CA,86.99,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
436,pocoes,BR,68.07,scattered clouds,-14.5297,-40.3653,Palace poções
437,sao joao da barra,BR,70.2,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
440,liancheng,CN,67.69,overcast clouds,24.0519,105.075,Kexiang Hotel
441,carbondale,US,89.06,scattered clouds,37.7273,-89.2168,Best Western Saluki Inn
442,am timan,TD,69.39,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
443,chake chake,TZ,74.26,few clouds,-5.2459,39.7666,Pemba Sea View Hotel
444,vanderhoof,CA,84.96,clear sky,54.0166,-124.0198,Vanderhoof Inn
445,isla mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
446,kaltenkirchen,DE,73.67,scattered clouds,53.8333,9.9667,Hotel Dreiklang Business & Spa Resort
447,iwaki,JP,70.77,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
450,tutoia,BR,80.89,scattered clouds,-2.7619,-42.2744,Pousada Guará's
451,marinette,US,82.45,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
453,beloha,MG,67.19,scattered clouds,-25.1667,45.05,
454,oum hadjer,TD,77.83,overcast clouds,13.2954,19.6966,
455,yumen,CN,68.86,broken clouds,40.2833,97.2,
459,manavgat,TR,78.26,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
460,los llanos de aridane,ES,74.12,broken clouds,28.6585,-17.9182,Valle Aridane
462,price,US,88.86,clear sky,39.5994,-110.8107,National 9 - Price River Inn
463,rennes,FR,77.04,clear sky,48.1667,-1.6667,ibis budget Rennes Route de Saint-Malo
464,locri,IT,72.32,clear sky,38.2414,16.2623,Grand Hotel President
467,trinidad,BO,93.18,few clouds,-14.8333,-64.9,Hotel Piesta
469,benguela,AO,70.92,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
470,hagi,JP,76.33,broken clouds,34.4,131.4167,Hagi Ichirin
471,lokot,RU,67.15,few clouds,52.565,34.5776,"Zao ""Konnyy Zavod ""Lokotskoy"""
472,caraguatay,AR,80.65,clear sky,-26.6059,-54.7809,Hostería Helvecia
473,eyl,SO,76.89,clear sky,7.9803,49.8164,Amiin Hotel
474,tatarbunary,UA,75.6,overcast clouds,45.8373,29.6142,Tatarbunary Hotelʹ Spd Abramova N.f.
476,aix-en-provence,FR,75.2,clear sky,43.5283,5.4497,Hôtel Le Pigonnet 5 étoiles
477,calinesti,RO,72.54,light rain,44.8167,25.05,Pension Lake Calinesti
478,sohna,IN,80.83,overcast clouds,28.25,77.0667,Fly India Adventure Resort
479,tautira,PF,76.32,light rain,-17.7333,-149.15,Pension Oaoa
481,pacific grove,US,74.39,clear sky,36.6177,-121.9166,Lovers Point Inn
483,ryotsu,JP,73.42,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
485,merauke,ID,76.55,broken clouds,-8.4667,140.3333,
487,kavieng,PG,80.08,broken clouds,-2.5744,150.7967,Nusa Island Retreat
488,banjarmasin,ID,75.34,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
489,souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
490,hanna,CA,75.85,overcast clouds,51.6334,-111.9018,West View Motel
491,sabya,SA,91.33,overcast clouds,17.1495,42.6254,Aseel Hotel Apartment
493,davidson,US,92.12,overcast clouds,36.1501,-86.7833,Best Western Plus Music Row
494,niksar,TR,73.0,scattered clouds,40.5917,36.9517,Nuri Park Hotel
496,matara,LK,77.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
497,puerto cabezas,NI,85.6,overcast clouds,14.0351,-83.3888,Cabaña Caribe
498,bull savanna,JM,84.85,broken clouds,17.8868,-77.5902,Big Red's
500,erzin,TR,73.87,clear sky,36.9559,36.2,Artemis Otel
501,lerici,IT,77.86,few clouds,44.0759,9.9112,Doria Park Hotel
502,grand gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
503,siavonga,ZM,70.18,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
504,nouakchott,MR,84.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
505,macapa,BR,84.78,few clouds,0.0389,-51.0664,Atalanta Hotel
506,coari,BR,93.81,scattered clouds,-4.085,-63.1414,Dellrey Hotel Center
507,jaen,ES,85.03,scattered clouds,38.0,-3.5,Hotel TRH Baeza
509,alfred,US,82.74,clear sky,42.2542,-77.7906,Gamma Theta Gamma
510,diu,IN,78.91,broken clouds,20.7141,70.9822,Hotel Relax Inn
513,ebolowa,CM,68.13,overcast clouds,2.9,11.15,Florence Hotel Ebolowa
515,santarem,BR,87.93,clear sky,-2.4431,-54.7083,Hotel Imperador
516,bay roberts,CA,73.51,overcast clouds,47.5999,-53.2648,Stonewall Inn
517,elizabeth city,US,88.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
518,bac ninh,VN,84.29,moderate rain,21.1833,106.05,Nhà Nghỉ Xuân Hòa
519,pringsewu,ID,72.39,overcast clouds,-5.3582,104.9744,Urban Style by Front One
520,morgan city,US,83.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
523,russell,US,83.8,scattered clouds,32.3502,-85.1999,Macs
524,auki,SB,76.35,overcast clouds,-8.7676,160.7034,Auki Motel
525,kapoeta,SS,74.37,scattered clouds,4.7717,33.5903,Eastgate Hotel
526,columbia,US,91.06,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
527,usvyaty,RU,65.23,few clouds,55.7456,30.7533,Gostinitsa Usvyacha
528,ampanihy,MG,70.16,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
529,karlovo,BG,69.21,broken clouds,42.6333,24.8,Hotel Shterev Karlovo
530,tomatlan,MX,91.02,few clouds,19.9333,-105.25,El Salvial
531,dingle,PH,75.7,light rain,10.9995,122.6711,SEGAYA PROPERTY
532,bilma,NE,98.82,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
534,mawlaik,MM,76.64,broken clouds,23.6333,94.4167,AKZ Guest House
537,lodwar,KE,87.93,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
540,fare,PF,75.94,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
542,klembivka,UA,72.55,scattered clouds,48.3904,28.4109,
544,sao pedro do sul,BR,69.37,broken clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
545,gelibolu,TR,67.86,light rain,40.4103,26.6708,Oya Hotel
546,san-pedro,CI,74.8,broken clouds,4.7485,-6.6363,Hotel Maria
547,mayo,US,91.36,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
548,gillette,US,79.72,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
549,cockburn town,TC,83.62,clear sky,21.4612,-71.1419,Osprey Beach Hotel
550,altamont,US,87.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
552,bandipur,NP,70.02,broken clouds,27.9333,84.4167,Bandipur Guest House
554,san jeronimo,PE,66.33,few clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
555,quatre cocos,MU,69.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
559,upata,VE,77.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
562,grand island,US,90.37,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
563,clarksdale,US,78.78,overcast clouds,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
564,noumea,NC,70.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
565,kirya,TZ,71.13,few clouds,-3.9167,37.4833,
566,farah,AF,74.52,clear sky,32.5,62.5,
567,westport,US,92.28,clear sky,41.1415,-73.3579,The Westport Inn
568,timbiqui,CO,80.76,light rain,2.7717,-77.6654,Hotel Sharey
569,vilhena,BR,91.81,clear sky,-12.7406,-60.1458,Hotel Mirage
570,dorchester,US,86.9,clear sky,33.1002,-80.3831,
571,bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
572,zabid,YE,93.43,overcast clouds,14.1951,43.3152,مغرب التريبه
573,ouadda,CF,68.52,moderate rain,8.0777,22.4007,
575,itarema,BR,80.78,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
576,barcelos,PT,68.92,few clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
580,madaoua,NE,83.79,few clouds,14.073,5.96,
581,biak,ID,74.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
584,the valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
587,alpena,US,77.32,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
588,phalodi,IN,77.63,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
590,sayyan,YE,68.13,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
592,sohag,EG,95.05,clear sky,26.557,31.6948,Civil Registry - Sohag 1
593,mahibadhoo,MV,81.37,overcast clouds,3.7833,72.9667,Omadhoo Inn
594,balykshi,KZ,71.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
595,vieux-habitants,GP,85.57,clear sky,16.0589,-61.7659,Habitation GETZ
596,awjilah,LY,85.75,clear sky,29.1081,21.2869,المنزل
597,gaoua,BF,72.07,broken clouds,10.2992,-3.2508,
598,mianyang,CN,76.73,light rain,31.4593,104.7542,如家快捷酒店
599,suez,EG,82.9,clear sky,29.9737,32.5263,Green House
600,uruzgan,AF,72.32,overcast clouds,32.8333,66.0,
604,broome,US,82.15,clear sky,42.2506,-75.833,Chenango Valley State Park
607,barahona,DO,87.62,broken clouds,18.2085,-71.1008,Hotel Caribe
609,ranong,TH,79.32,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
610,tukrah,LY,79.92,clear sky,32.5341,20.5791,Lagrota restaurant
611,lima,PE,71.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
612,kerema,PG,76.33,overcast clouds,-7.9631,145.7785,Frena Lodge
613,nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
615,wageningen,NL,78.12,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
616,kalamazoo,US,86.04,clear sky,42.2506,-85.55,Four Points by Sheraton Kalamazoo
617,manadhoo,MV,77.99,light rain,5.7667,73.3833,Bon Abri maldives
619,rock sound,BS,83.86,few clouds,24.9,-76.2,Pink Corral Bay Property
620,sakit,IN,81.84,overcast clouds,27.45,78.8167,Laucky house
621,takoradi,GH,74.25,few clouds,4.8845,-1.7554,Raybow International Hotel
622,kununurra,AU,66.18,clear sky,-15.7667,128.7333,Hotel Kununurra
